Date,SITE NAME,STATE,DAILY_AQI_VALUE,SITE_LATITUDE,SITE_LONGITUDE
3/20/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
3/21/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
3/22/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
3/23/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
3/24/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
3/25/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
3/26/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
3/27/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
3/28/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
3/30/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
3/31/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/1/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/2/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/3/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/5/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/6/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/7/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/8/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/9/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/11/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/12/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/13/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/14/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/15/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/16/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/17/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/19/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/20/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/22/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/23/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/24/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/25/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/26/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/27/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/28/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/29/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
4/30/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
5/1/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
5/4/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
5/5/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
5/6/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
5/7/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
5/8/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
5/9/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
5/10/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
5/12/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
5/13/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
5/14/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
5/15/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
5/17/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
5/18/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
5/19/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
5/20/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
5/25/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
8/6/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
8/7/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
8/8/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
8/9/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
8/10/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
8/11/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
8/12/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
8/13/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
8/14/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
8/15/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
8/17/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
8/18/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
8/19/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
8/20/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
8/21/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
8/27/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
8/29/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
9/2/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
9/3/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
9/4/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
9/5/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
9/6/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
9/7/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
9/8/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
9/9/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
9/10/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
9/11/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
9/12/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
9/13/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
9/14/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
9/15/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
9/16/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
9/17/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
9/18/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
9/19/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
9/20/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
9/21/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
9/22/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
9/23/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
9/24/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
9/25/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
9/26/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
9/27/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
9/28/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
9/29/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
9/30/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/1/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/2/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/3/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/4/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/5/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/6/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/7/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/8/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/9/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/10/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/11/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
10/12/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/13/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/14/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
10/15/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
10/16/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
10/17/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
10/18/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
10/19/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
10/20/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/21/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/22/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/23/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
10/24/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/25/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/26/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
10/27/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/28/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/29/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/30/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
10/31/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/1/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
11/2/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/3/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/4/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/5/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/6/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/7/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/8/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/9/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/10/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
11/11/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/12/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/13/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
11/14/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
11/15/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/16/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/17/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
11/18/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/19/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/20/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/21/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
11/22/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
11/23/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/24/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/25/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/26/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/27/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
11/28/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
11/29/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
11/30/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
12/1/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
12/2/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
12/3/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
12/4/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
12/5/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
12/7/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
12/9/2016,Cheyenne NCore,Wyoming,3,41.18222711,-104.7783342
12/10/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
12/11/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
12/12/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
12/13/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
12/14/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
12/15/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
12/16/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
12/17/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
12/18/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
12/19/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
12/20/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
12/21/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
12/22/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
12/23/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
12/24/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
12/25/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
12/26/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
12/27/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
12/28/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
12/29/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
12/30/2016,Cheyenne NCore,Wyoming,1,41.18222711,-104.7783342
12/31/2016,Cheyenne NCore,Wyoming,2,41.18222711,-104.7783342
1/1/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
1/2/2016,El Paso Chamizal,Texas,7,31.765685,-106.455227
1/3/2016,El Paso Chamizal,Texas,8,31.765685,-106.455227
1/4/2016,El Paso Chamizal,Texas,6,31.765685,-106.455227
1/5/2016,El Paso Chamizal,Texas,5,31.765685,-106.455227
1/6/2016,El Paso Chamizal,Texas,9,31.765685,-106.455227
1/7/2016,El Paso Chamizal,Texas,7,31.765685,-106.455227
1/8/2016,El Paso Chamizal,Texas,3,31.765685,-106.455227
1/9/2016,El Paso Chamizal,Texas,5,31.765685,-106.455227
1/10/2016,El Paso Chamizal,Texas,5,31.765685,-106.455227
1/11/2016,El Paso Chamizal,Texas,7,31.765685,-106.455227
1/22/2016,El Paso Chamizal,Texas,18,31.765685,-106.455227
1/23/2016,El Paso Chamizal,Texas,19,31.765685,-106.455227
1/24/2016,El Paso Chamizal,Texas,20,31.765685,-106.455227
1/25/2016,El Paso Chamizal,Texas,7,31.765685,-106.455227
1/30/2016,El Paso Chamizal,Texas,14,31.765685,-106.455227
1/31/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
2/1/2016,El Paso Chamizal,Texas,5,31.765685,-106.455227
2/2/2016,El Paso Chamizal,Texas,5,31.765685,-106.455227
2/3/2016,El Paso Chamizal,Texas,7,31.765685,-106.455227
2/4/2016,El Paso Chamizal,Texas,7,31.765685,-106.455227
2/5/2016,El Paso Chamizal,Texas,7,31.765685,-106.455227
2/6/2016,El Paso Chamizal,Texas,6,31.765685,-106.455227
2/7/2016,El Paso Chamizal,Texas,7,31.765685,-106.455227
2/8/2016,El Paso Chamizal,Texas,6,31.765685,-106.455227
2/11/2016,El Paso Chamizal,Texas,13,31.765685,-106.455227
2/12/2016,El Paso Chamizal,Texas,17,31.765685,-106.455227
2/13/2016,El Paso Chamizal,Texas,17,31.765685,-106.455227
2/14/2016,El Paso Chamizal,Texas,14,31.765685,-106.455227
2/15/2016,El Paso Chamizal,Texas,8,31.765685,-106.455227
2/16/2016,El Paso Chamizal,Texas,14,31.765685,-106.455227
2/17/2016,El Paso Chamizal,Texas,15,31.765685,-106.455227
2/18/2016,El Paso Chamizal,Texas,13,31.765685,-106.455227
2/19/2016,El Paso Chamizal,Texas,10,31.765685,-106.455227
2/20/2016,El Paso Chamizal,Texas,10,31.765685,-106.455227
2/21/2016,El Paso Chamizal,Texas,14,31.765685,-106.455227
2/22/2016,El Paso Chamizal,Texas,5,31.765685,-106.455227
2/23/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
2/24/2016,El Paso Chamizal,Texas,6,31.765685,-106.455227
2/25/2016,El Paso Chamizal,Texas,5,31.765685,-106.455227
2/26/2016,El Paso Chamizal,Texas,8,31.765685,-106.455227
2/27/2016,El Paso Chamizal,Texas,18,31.765685,-106.455227
2/28/2016,El Paso Chamizal,Texas,22,31.765685,-106.455227
2/29/2016,El Paso Chamizal,Texas,10,31.765685,-106.455227
3/1/2016,El Paso Chamizal,Texas,13,31.765685,-106.455227
3/2/2016,El Paso Chamizal,Texas,14,31.765685,-106.455227
3/3/2016,El Paso Chamizal,Texas,8,31.765685,-106.455227
3/4/2016,El Paso Chamizal,Texas,18,31.765685,-106.455227
3/5/2016,El Paso Chamizal,Texas,23,31.765685,-106.455227
3/6/2016,El Paso Chamizal,Texas,22,31.765685,-106.455227
3/7/2016,El Paso Chamizal,Texas,3,31.765685,-106.455227
3/8/2016,El Paso Chamizal,Texas,3,31.765685,-106.455227
3/9/2016,El Paso Chamizal,Texas,3,31.765685,-106.455227
3/10/2016,El Paso Chamizal,Texas,6,31.765685,-106.455227
3/11/2016,El Paso Chamizal,Texas,16,31.765685,-106.455227
3/12/2016,El Paso Chamizal,Texas,17,31.765685,-106.455227
3/13/2016,El Paso Chamizal,Texas,5,31.765685,-106.455227
3/14/2016,El Paso Chamizal,Texas,5,31.765685,-106.455227
3/17/2016,El Paso Chamizal,Texas,8,31.765685,-106.455227
3/18/2016,El Paso Chamizal,Texas,5,31.765685,-106.455227
3/19/2016,El Paso Chamizal,Texas,3,31.765685,-106.455227
3/20/2016,El Paso Chamizal,Texas,5,31.765685,-106.455227
3/21/2016,El Paso Chamizal,Texas,11,31.765685,-106.455227
3/22/2016,El Paso Chamizal,Texas,13,31.765685,-106.455227
3/23/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
3/24/2016,El Paso Chamizal,Texas,11,31.765685,-106.455227
3/25/2016,El Paso Chamizal,Texas,11,31.765685,-106.455227
3/26/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
3/27/2016,El Paso Chamizal,Texas,5,31.765685,-106.455227
3/31/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
4/1/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
4/2/2016,El Paso Chamizal,Texas,5,31.765685,-106.455227
4/3/2016,El Paso Chamizal,Texas,15,31.765685,-106.455227
4/4/2016,El Paso Chamizal,Texas,18,31.765685,-106.455227
4/5/2016,El Paso Chamizal,Texas,11,31.765685,-106.455227
4/6/2016,El Paso Chamizal,Texas,13,31.765685,-106.455227
4/7/2016,El Paso Chamizal,Texas,15,31.765685,-106.455227
4/8/2016,El Paso Chamizal,Texas,5,31.765685,-106.455227
4/9/2016,El Paso Chamizal,Texas,9,31.765685,-106.455227
4/10/2016,El Paso Chamizal,Texas,11,31.765685,-106.455227
4/11/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
4/12/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
4/13/2016,El Paso Chamizal,Texas,7,31.765685,-106.455227
4/14/2016,El Paso Chamizal,Texas,8,31.765685,-106.455227
4/15/2016,El Paso Chamizal,Texas,8,31.765685,-106.455227
4/16/2016,El Paso Chamizal,Texas,1,31.765685,-106.455227
4/17/2016,El Paso Chamizal,Texas,3,31.765685,-106.455227
4/18/2016,El Paso Chamizal,Texas,3,31.765685,-106.455227
4/19/2016,El Paso Chamizal,Texas,6,31.765685,-106.455227
4/20/2016,El Paso Chamizal,Texas,8,31.765685,-106.455227
4/21/2016,El Paso Chamizal,Texas,3,31.765685,-106.455227
4/22/2016,El Paso Chamizal,Texas,3,31.765685,-106.455227
4/23/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
4/24/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
4/25/2016,El Paso Chamizal,Texas,1,31.765685,-106.455227
4/26/2016,El Paso Chamizal,Texas,1,31.765685,-106.455227
4/27/2016,El Paso Chamizal,Texas,8,31.765685,-106.455227
4/28/2016,El Paso Chamizal,Texas,9,31.765685,-106.455227
4/29/2016,El Paso Chamizal,Texas,2,31.765685,-106.455227
4/30/2016,El Paso Chamizal,Texas,3,31.765685,-106.455227
5/1/2016,El Paso Chamizal,Texas,3,31.765685,-106.455227
5/2/2016,El Paso Chamizal,Texas,3,31.765685,-106.455227
